1.4,0.2,Setosa
1.4,0.2,Setosa
1.3,0.2,Setosa
1.5,0.2,Setosa
1.4,0.2,Setosa
1.7,0.4,Setosa
1.4,0.3,Setosa
1.5,0.2,Setosa
1.4,0.2,Setosa
1.5,0.1,Setosa
1.5,0.2,Setosa
1.6,0.2,Setosa
1.4,0.1,Setosa
1.1,0.1,Setosa
1.2,0.2,Setosa
1.5,0.4,Setosa
1.3,0.4,Setosa
1.4,0.3,Setosa
1.7,0.3,Setosa
1.5,0.3,Setosa
1.7,0.2,Setosa
1.5,0.4,Setosa
1.0,0.2,Setosa
1.7,0.5,Setosa
1.9,0.2,Setosa
1.6,0.2,Setosa
1.6,0.4,Setosa
1.5,0.2,Setosa
1.4,0.2,Setosa
1.6,0.2,Setosa
1.6,0.2,Setosa
1.5,0.4,Setosa
1.5,0.1,Setosa
1.4,0.2,Setosa
1.5,0.2,Setosa
1.2,0.2,Setosa
1.3,0.2,Setosa
1.4,0.1,Setosa
1.3,0.2,Setosa
1.5,0.2,Setosa
1.3,0.3,Setosa
1.3,0.3,Setosa
1.3,0.2,Setosa
1.6,0.6,Setosa
1.9,0.4,Setosa
1.4,0.3,Setosa
1.6,0.2,Setosa
1.4,0.2,Setosa
1.5,0.2,Setosa
1.4,0.2,Setosa
4.7,1.4,Versicolor
4.5,1.5,Versicolor
4.9,1.5,Versicolor
4.0,1.3,Versicolor
4.6,1.5,Versicolor
4.5,1.3,Versicolor
4.7,1.6,Versicolor
3.3,1.0,Versicolor
4.6,1.3,Versicolor
3.9,1.4,Versicolor
3.5,1.0,Versicolor
4.2,1.5,Versicolor
4.0,1.0,Versicolor
4.7,1.4,Versicolor
3.6,1.3,Versicolor
4.4,1.4,Versicolor
4.5,1.5,Versicolor
4.1,1.0,Versicolor
4.5,1.5,Versicolor
3.9,1.1,Versicolor
4.8,1.8,Versicolor
4.0,1.3,Versicolor
4.9,1.5,Versicolor
4.7,1.2,Versicolor
4.3,1.3,Versicolor
4.4,1.4,Versicolor
4.8,1.4,Versicolor
5.0,1.7,Versicolor
4.5,1.5,Versicolor
3.5,1.0,Versicolor
3.8,1.1,Versicolor
3.7,1.0,Versicolor
3.9,1.2,Versicolor
5.1,1.6,Versicolor
4.5,1.5,Versicolor
4.5,1.6,Versicolor
4.7,1.5,Versicolor
4.4,1.3,Versicolor
4.1,1.3,Versicolor
4.0,1.3,Versicolor
4.4,1.2,Versicolor
4.6,1.4,Versicolor
4.0,1.2,Versicolor
3.3,1.0,Versicolor
4.2,1.3,Versicolor
4.2,1.2,Versicolor
4.2,1.3,Versicolor
4.3,1.3,Versicolor
3.0,1.1,Versicolor
4.1,1.3,Versicolor
6.0,2.5,Virginica
5.1,1.9,Virginica
5.9,2.1,Virginica
5.6,1.8,Virginica
5.8,2.2,Virginica
6.6,2.1,Virginica
4.5,1.7,Virginica
6.3,1.8,Virginica
5.8,1.8,Virginica
6.1,2.5,Virginica
5.1,2.0,Virginica
5.3,1.9,Virginica
5.5,2.1,Virginica
5.0,2.0,Virginica
5.1,2.4,Virginica
5.3,2.3,Virginica
5.5,1.8,Virginica
6.7,2.2,Virginica
6.9,2.3,Virginica
5.0,1.5,Virginica
5.7,2.3,Virginica
4.9,2.0,Virginica
6.7,2.0,Virginica
4.9,1.8,Virginica
5.7,2.1,Virginica
6.0,1.8,Virginica
4.8,1.8,Virginica
4.9,1.8,Virginica
5.6,2.1,Virginica
5.8,1.6,Virginica
6.1,1.9,Virginica
6.4,2.0,Virginica
5.6,2.2,Virginica
5.1,1.5,Virginica
5.6,1.4,Virginica
6.1,2.3,Virginica
5.6,2.4,Virginica
5.5,1.8,Virginica
4.8,1.8,Virginica
5.4,2.1,Virginica
5.6,2.4,Virginica
5.1,2.3,Virginica
5.1,1.9,Virginica
5.9,2.3,Virginica
5.7,2.5,Virginica
5.2,2.3,Virginica
5.0,1.9,Virginica
5.2,2.0,Virginica
5.4,2.3,Virginica
5.1,1.8,Virginica
